Alias;Metric;Definition / Description;Traducción;tipo variable
Activo;Active;Active vacation rentals are those that had at least one calendar day classified as reserved during the reporting period;Los alquileres de vacaciones activos son aquellos que tenían al menos un día calendario clasificado como reservado durante el período del informe;string
ID_Host;Airbnb Host ID;Unique Airbnb host ID (https://www.airbnb.com/users/show/(hostID) will bring up the host profile;El ID de host exclusivo de Airbnb (https://www.airbnb.com/users/show/(hostID) mostrará el perfil del host;string
;Airbnb Listing Main Image URL;Link to the main vacation rental listing image on Airbnb;Enlace a la imagen principal de la lista de alquileres vacacionales en Airbnb;string
;Airbnb Listing URL;Link to the vacation rental listing on Airbnb;Enlace a la lista de alquileres de vacaciones en Airbnb;string
Propiedad;Airbnb Property ID;Unique property ID assigned by Airbnb. http://airbnb.com/rooms/(propid) will bring up the Airbnb vacation rental listing;"ID de propiedad única asignada por Airbnb. 
http://airbnb.com/rooms/(propid) mostrará la lista de alquileres de vacaciones de Airbnb";integer
;Airbnb Superhost;True or False depending if the host is a Superhost on Airbnb;Verdadero o Falso dependiendo de si el anfitrión es un Superhost en Airbnb;string
;Annual Revenue LTM (Native);Last twelve months (LTM) or total monthly listing revenue, depending on report viewed, in native host currency. Includes cleaning fees but not other additional fees;Los últimos doce meses (LTM) o los ingresos totales mensuales del listado, según el informe visto, en la moneda del host nativo. Incluye gastos de limpieza, pero no otros cargos adicionales;float
;Annual Revenue LTM (USD);Last Twelve Months (LTM) or total monthly listing revenue, depending on report viewed, in USD. Includes cleaning fees but not other additional fees;Los últimos doce meses (LTM) o los ingresos totales mensuales del listado, según el informe visto, en USD. Incluye gastos de limpieza, pero no otros cargos adicionales;float
Días_Disponibles;Available Days;Total number of listing calendar days that were classified as available during the reporting period. Each calendar day is classified as either A = available, B = blocked, or R = reserved.;Número total de días calendario de listado que se clasificaron como disponibles durante el período de informe. Cada día calendario se clasifica como A = disponible, B = bloqueado o R = reservado.;integer
;Available Listings;Total number of listings whose calendars had at least one day classified as available or reserved during the reporting period;Número total de listados cuyos calendarios tenían al menos un día clasificados como disponibles o reservados durante el período del informe;integer
Tarifa_Diaria_Nativ;Average Daily Rate (Native);Average Daily Rate (ADR) of booked nights in the native currency chosen by the host. ADR = Total Revenue / Booked Nights;Tarifa diaria promedio (ADR) de noches reservadas en la moneda nativa elegida por el anfitrión. ADR = Ingresos totales / Noches reservadas;float
Tarifa_Diaria_USD;Average Daily Rate (USD);Average daily rate (ADR) of booked nights in USD. ADR = Total Revenue / Booked Nights;Tarifa diaria promedio (ADR) de noches reservadas en USD. ADR = Ingresos totales / Noches reservadas;float
;Bathrooms;Number of bathrooms in a vacation rental listing;Número de baños en un listado de alquileres vacacionales.;float
Habitaciones;Bedrooms;Number of bedrooms in a vacation rental listing;Número de habitaciones en un anuncio de alquiler de vacaciones.;integer
Días_Bloqueados;Blocked Days;Total number of listing calendar days that were classified as blocked during the reporting period. Each calendar day is classified as either A = available, B = blocked, or R = reserved.;Número total de días calendario de listado que se clasificaron como bloqueados durante el período de informe. Cada día calendario se clasifica como A = disponible, B = bloqueado o R = reservado.;integer
;Booked Date;Date that AirDNA picked up the booked reservation;Fecha en que AirDNA recogió la reserva reservada.;date
