6.1 Diccionario Base de datos Delitos Turistas Bogotá 2019_2021;;;
;;;
Generalidades;"TURISTAS VICTIMAS DE DELITOS - AÑO 2019-2021 
FUENTE: DATOS EXTRAIDOS DEL APLICATIVO SIEDCO PLUS, SUJETO A VARIACION POR DENUNCIAS QUE INGRESAN DEL SIDENCO AL SPOA";;
;;;
VARIABLE ;DESCRIPCIÓN;TIPO VARIABLE;
JURISMETROPOLITANADEPTO;Jurisdicción / metropolitana / departamento del hecho;string;
MUNICIPIO_HECHO;municipio/ciudad del evento;string;
COMUNAS_ZONAS_DESCRIPCION;identificación zona de los hechos;string;
DESCRIPCION_CONDUCTA;tipo de delito;string;
BARRIOS_HECHO;barrios de hecho;string;
FECHA_HECHO;fecha del evento;date;
MES_LARGO;mes del texto del evento;string;
DIA_SEMANA;día de la semana del evento (texto);string;
INTERVALOS_HORA;intervalos de tiempo del evento (grupos de 6 horas);string;
HORA_HECHO;hora del hecho;time;
GENERO;Género del denunciante;string;
MODALIDAD;Modalidad del Delito;string;
PAIS_PERSONA;país de residencia de la persona que denuncia el delito;string;
CARGO_PERSONA;origen del turista;string;
CLASE_SITIO;lugar donde ocurrió el delito;string;
ZONA;área urbana o rural;string;
ARMAS_MEDIOS;medios utilizados para cometer el delito;string;
EDAD;edad del denunciante;integer;
AGRUPA_EDAD_PERSONA;categorías de edad del denunciante;string;
GRADO_INSTRUCCION_PERSONA;nivel educativo de la víctima del delito;string;
JURISESTACIÓNÁREA;área de la estación de jurisdicción;string;
JURISCAI;nombre del cai donde se denuncio el delito;string;
Mes;mes del evento (numérico);integer;
Año;año del evento (numérico);integer;
Dia;día del evento (numérico);integer;
LATITUD_Y;georreferenciación del lugar delito;float;
LONGITUD_X;georreferenciación del lugar delito;float;
